"","Q.1","Q.2","Q.3","Q.4","Q.5","Q.6","Q.7","Q.8","Q.9","Q.10","Q.11","Q.12","Q.13","Q.14","Q.15","Q.16","Q.17","Q.18","Q.19","Q.20","Q.21","Q.22","Q.23","Q.24","Q.25","Q.26","Q.27","Q.28","Q.29","Q.30","Q.31","Q.32","Q.33","Q.34","Q.35","Q.36","age","gender","country","avoidance","anxiety"
"55",4,4,5,5,1,5,1,5,2,5,1,1,1,5,4,2,2,3,4,3,1,1,1,4,5,1,5,5,5,5,5,4,5,5,5,1,20,"1","AU",-29,62
"56",5,3,5,2,5,4,4,2,1,4,5,2,4,2,2,1,4,3,3,1,4,5,3,1,3,2,4,2,3,2,4,2,4,2,4,1,44,"2","AU",3,31
"57",2,4,5,4,1,4,2,3,1,5,2,2,1,4,4,5,2,1,2,3,1,3,1,4,4,5,4,2,4,4,3,2,5,3,2,2,31,"2","AU",-20,54
"58",2,5,4,4,2,5,2,4,2,5,2,5,2,1,4,4,2,4,4,4,3,2,2,4,3,4,5,1,2,4,4,3,4,5,5,4,22,"2","AU",-16,64
"59",2,4,1,4,4,4,5,4,5,3,4,3,4,4,2,2,4,2,2,3,4,3,3,4,3,3,4,4,2,4,4,4,4,4,4,2,20,"2","AU",9,55
"60",3,5,4,5,2,5,1,5,3,2,2,5,2,5,5,4,1,4,4,3,1,1,1,3,5,2,5,3,5,2,5,4,4,5,5,2,15,"2","AU",-26,63
"61",2,2,4,4,3,4,2,2,2,2,4,2,2,2,4,4,2,3,4,4,4,4,2,3,2,2,4,3,3,2,4,2,4,5,4,2,39,"2","AU",-10,44
"62",4,4,4,4,2,1,3,4,1,3,1,2,3,4,5,3,0,4,2,1,1,1,2,4,4,2,5,2,4,4,5,4,4,5,5,1,17,"1","AU",-21,51
"63",2,3,4,2,4,2,4,4,2,3,1,1,4,4,4,1,2,1,4,1,3,3,4,2,2,2,3,1,3,4,4,3,3,2,2,3,47,"1","AU",-3,36
"64",2,4,2,2,2,5,4,4,4,4,3,3,4,5,1,4,3,4,2,3,4,2,3,3,1,3,2,2,4,4,1,4,1,1,1,1,18,"2","AU",14,54
"65",2,5,3,5,3,5,3,5,2,5,5,4,2,5,4,3,3,5,4,4,1,1,3,4,4,2,5,1,4,4,5,3,5,5,5,3,17,"2","AU",-15,67
"66",1,0,3,5,3,5,2,5,1,5,2,5,4,5,5,5,2,5,5,5,3,1,1,5,5,5,5,3,3,5,5,5,5,5,5,5,19,"1","AU",-22,77
"67",4,2,5,2,4,2,2,1,4,2,4,1,2,1,1,2,4,2,2,2,4,4,4,2,1,2,2,1,2,2,2,1,2,2,2,1,16,"1","AU",13,24
"68",1,5,4,4,2,5,2,4,2,5,2,4,2,4,4,4,2,5,3,4,2,1,1,5,4,4,4,4,4,4,5,5,5,4,4,4,23,"1","AU",-21,73
"69",4,5,2,5,4,4,4,5,4,5,5,3,4,5,4,2,4,5,2,2,4,2,3,3,4,3,3,3,4,4,4,3,3,4,4,4,19,"2","AU",6,63
"70",1,5,5,5,1,2,1,3,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,4,5,1,5,5,5,1,5,1,5,2,5,1,41,"2","AU",-36,31
"71",2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,4,2,4,2,4,2,4,2,4,2,55,"2","AU",-18,32
"72",2,2,5,2,4,4,5,3,3,2,2,2,4,4,5,4,3,5,5,4,4,0,2,5,5,2,5,2,4,4,5,4,5,5,5,2,17,"2","AU",-15,56
"73",2,4,4,4,1,4,2,4,2,2,2,2,1,4,3,1,3,3,2,4,5,2,2,4,2,4,2,2,2,4,4,2,5,5,5,2,30,"2","AU",-9,53
"74",1,1,5,3,1,1,1,1,1,1,1,1,1,1,5,3,1,3,5,1,1,5,1,3,5,1,5,1,5,4,5,3,5,3,5,1,41,"2","AU",-36,27
"75",4,3,2,4,4,2,2,2,4,4,4,2,2,1,2,0,0,3,2,1,3,4,4,4,1,1,4,3,1,1,3,2,3,2,4,1,30,"1","AU",5,32
"76",5,5,2,5,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,5,4,2,3,4,4,5,4,3,3,3,4,5,4,5,4,4,28,"2","AU",3,70
"77",1,3,4,2,1,4,1,2,1,3,1,3,1,3,4,2,1,3,2,3,2,4,2,2,3,2,4,2,4,1,4,2,4,4,4,1,32,"2","AU",-22,38
"78",4,3,2,3,4,3,4,2,2,3,3,2,4,2,2,2,4,2,2,2,2,3,4,2,2,2,2,3,2,2,2,2,2,3,3,3,65,"2","AU",12,38
"79",4,3,4,2,2,2,2,3,2,1,1,4,3,3,5,4,2,3,5,3,2,4,2,2,4,2,4,4,3,4,4,3,4,2,4,2,29,"2","AU",-17,43
"80",4,5,4,4,4,5,2,4,4,4,4,2,4,0,2,2,4,5,2,1,5,1,3,1,1,2,1,2,1,1,1,2,1,4,1,1,23,"2","AU",20,44
"81",2,4,5,4,2,4,2,4,2,5,1,1,4,2,5,4,1,5,4,4,2,2,2,5,5,4,5,1,4,5,5,5,5,5,5,4,35,"2","AU",-25,64
"82",3,4,4,4,3,5,3,4,3,4,4,3,2,5,4,2,3,5,3,1,3,2,2,3,3,2,3,3,3,3,3,3,4,5,3,2,19,"2","AU",-4,56
"83",5,4,2,5,4,5,5,5,4,4,4,4,5,5,1,4,5,4,1,4,4,1,5,2,1,3,2,1,1,2,1,1,3,5,1,1,13,"2","AU",28,58
"84",4,4,1,3,3,3,3,3,4,3,3,3,4,3,2,2,3,3,3,3,4,2,3,4,3,2,2,3,3,4,4,4,4,5,4,4,17,"1","AU",5,54
"85",5,5,2,4,5,1,2,2,5,2,4,1,4,5,1,1,4,5,2,2,4,1,2,4,1,1,1,1,4,3,2,4,4,4,2,2,17,"2","AU",16,46
"86",5,4,5,3,1,4,1,5,2,5,1,3,1,2,3,3,3,4,4,1,1,3,2,2,3,4,4,1,5,3,5,5,5,3,5,2,16,"1","AU",-22,51
"87",1,4,5,5,1,5,1,4,2,5,1,4,1,4,5,3,1,4,3,2,1,3,1,4,4,4,4,2,5,5,5,2,5,5,5,2,19,"1","AU",-31,61
"88",4,4,3,2,5,4,2,4,5,4,4,4,2,1,4,4,3,2,1,5,4,1,2,4,2,5,1,4,2,4,4,5,3,3,2,3,30,"2","AU",9,61
"89",1,3,4,2,2,3,3,2,2,3,2,2,2,2,4,2,2,2,3,2,2,3,2,2,4,2,4,3,4,3,4,2,4,4,4,2,15,"2","AU",-17,38
"90",4,1,4,1,1,4,1,1,1,4,4,4,1,4,4,1,1,1,4,4,4,4,1,4,4,4,1,1,4,1,4,4,4,4,4,4,30,"2","IN",-15,43
"91",4,5,1,1,1,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,21,"1","IN",8,23
"92",2,5,5,5,2,3,2,5,2,4,1,1,1,5,5,2,2,4,2,3,3,1,1,5,5,3,5,4,4,4,5,4,4,4,5,4,23,"2","IN",-24,64
"93",2,2,4,2,2,2,2,2,1,2,2,2,2,2,5,2,2,4,4,2,2,4,2,4,5,1,5,2,4,3,5,3,5,4,5,3,19,"2","IN",-25,38
"94",4,2,3,4,2,2,2,3,4,5,4,2,2,2,3,2,3,2,4,2,4,4,3,4,2,2,2,3,3,4,2,2,3,2,2,4,42,"1","IN",4,43
"95",4,3,3,5,2,4,2,4,4,5,4,1,4,3,2,1,4,2,2,1,4,3,2,4,1,3,1,4,3,5,1,5,2,4,2,4,23,"2","IN",13,55
"97",5,5,4,3,2,5,2,4,2,5,2,2,3,5,4,2,3,3,4,3,2,2,2,2,4,2,5,3,4,2,5,1,3,2,3,3,20,"2","ID",-13,50
"98",2,4,2,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,2,2,2,4,2,2,0,0,0,0,0,0,0,23,"2","IN",14,34
"99",1,5,4,4,2,2,2,4,2,5,5,1,4,4,4,4,2,2,2,2,2,1,1,4,5,4,3,1,4,3,4,2,3,4,2,4,22,"2","IN",-10,54
"100",5,4,3,4,3,3,2,4,2,5,4,2,5,4,2,2,5,2,4,2,5,1,4,2,2,4,2,2,3,4,4,4,2,5,2,3,17,"2","IN",11,55
"101",2,1,4,2,3,1,2,1,3,1,3,3,2,1,4,3,2,2,4,2,4,5,2,2,3,2,4,1,3,2,4,2,4,1,4,1,22,"2","NZ",-11,23
"102",1,3,5,3,1,4,1,3,1,4,1,4,1,4,5,4,2,4,5,5,3,3,2,4,4,4,5,5,3,4,5,4,5,3,5,3,21,"1","NZ",-29,62
"103",3,5,3,4,3,5,3,5,4,5,4,4,3,5,3,5,4,4,3,4,5,2,2,3,3,4,3,3,3,4,4,4,4,5,3,3,14,"2","NZ",2,70
"104",3,2,3,2,4,2,4,3,2,2,4,2,2,2,4,1,3,1,3,1,3,4,3,1,3,2,3,2,3,2,4,1,2,5,3,2,19,"1","NZ",0,29
"105",4,3,3,4,4,4,4,2,4,2,4,1,4,1,1,1,4,4,4,2,4,4,4,2,4,1,4,1,1,1,3,3,4,4,4,2,21,"2","NZ",8,34
"106",3,5,1,2,3,5,4,5,5,5,3,1,4,1,2,1,3,1,1,1,5,2,5,5,1,3,3,1,1,2,3,2,2,5,2,3,18,"1","NZ",19,46
"107",5,3,4,4,2,4,2,4,3,4,4,2,2,4,2,1,2,5,4,2,2,2,2,3,2,3,2,4,4,4,4,2,4,5,5,2,35,"1","NZ",-7,54
"108",2,3,5,4,2,4,1,3,2,4,3,4,2,4,5,4,2,3,4,3,2,3,2,4,5,4,5,4,4,5,5,5,5,4,5,5,17,"2","NZ",-25,64
"109",3,1,4,2,2,2,5,1,4,3,1,1,4,1,5,1,4,1,4,3,5,5,3,3,5,1,4,1,2,1,4,3,3,1,4,1,33,"2","GU",-4,22
"110",4,5,5,5,4,5,2,4,1,5,2,3,2,4,5,3,2,5,3,5,4,2,2,4,3,4,4,1,3,4,5,4,4,5,4,4,27,"1","AU",-13,68
"111",3,4,3,3,4,3,3,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,4,2,4,2,2,5,5,5,5,5,5,5,24,"2","MY",-6,60
"112",2,4,4,4,2,5,2,4,2,4,2,4,2,4,5,3,2,4,5,4,2,4,2,2,5,2,4,3,4,3,4,3,5,4,5,2,17,"2","ID",-23,55
"113",2,2,5,4,2,4,3,3,3,4,3,1,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,2,3,3,4,3,5,5,4,2,16,"2","SG",-10,43
"114",2,1,5,2,2,1,1,1,1,2,1,3,1,1,1,1,1,1,4,2,3,5,1,1,2,1,4,1,1,1,4,4,4,1,2,1,64,"2","AU",-14,20
"115",2,5,5,2,2,4,1,4,2,4,2,1,2,4,4,3,3,3,4,4,2,2,2,4,5,2,4,4,4,3,4,4,4,5,4,2,19,"2","PH",-20,56
"116",4,5,5,5,2,5,1,5,2,5,2,4,5,5,5,4,2,5,5,4,2,3,1,2,5,1,5,2,4,2,5,3,4,5,5,2,15,"2","PH",-22,61
"117",4,5,5,5,4,5,2,5,2,5,3,3,2,4,5,4,3,5,2,4,3,1,3,4,4,3,4,2,3,3,4,3,4,4,5,3,17,"1","PH",-10,66
"118",4,1,4,1,2,1,1,1,2,1,1,1,2,4,4,1,3,1,3,1,2,5,2,1,2,1,3,1,2,2,4,1,4,1,4,1,29,"1","US",-11,16
"119",5,5,5,5,1,5,1,5,1,5,1,1,1,5,5,1,1,1,5,1,5,5,1,5,5,1,5,1,1,5,5,5,5,4,5,5,23,"1","IN",-24,55
"120",2,3,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,5,4,1,1,1,3,1,1,5,1,4,2,1,4,2,1,5,2,20,"2","ID",-14,30
"121",4,4,2,2,5,1,5,3,3,1,4,3,4,3,3,1,4,2,1,1,4,4,4,1,5,1,5,1,3,1,5,3,5,4,5,1,22,"2","IN",3,29
"122",1,5,5,5,3,2,1,4,1,3,4,5,1,5,5,3,2,3,5,3,2,1,1,5,5,2,5,4,5,4,5,4,3,5,5,4,20,"2","IN",-27,65
"123",4,2,3,3,4,4,4,3,2,4,4,3,4,3,2,3,4,3,2,4,4,4,4,4,3,2,4,3,2,2,4,3,3,4,4,2,25,"2","IN",7,48
"124",2,2,5,2,1,4,2,1,4,4,3,1,1,3,4,1,1,4,4,3,3,3,2,5,4,2,3,2,3,3,2,4,2,4,3,1,31,"1","AU",-11,43
"125",1,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,3,5,1,1,5,5,5,5,5,5,5,5,3,5,5,5,5,17,"1","LK",-14,80
"126",2,5,5,5,4,5,2,4,2,4,3,2,2,3,4,3,2,2,4,3,2,2,2,3,5,3,4,3,4,2,4,3,4,4,5,4,25,"2","LK",-18,56
"127",4,4,4,3,1,3,4,3,3,4,4,3,3,5,3,2,1,3,4,2,3,3,1,3,4,3,5,5,5,5,5,3,3,3,3,3,22,"2","IN",-12,54
"128",5,4,5,3,1,4,5,3,4,4,2,3,2,2,4,3,2,2,4,2,2,2,2,4,2,4,3,2,3,4,4,4,4,3,3,4,25,"1","IN",-7,53
"129",4,4,4,2,3,3,3,4,4,3,3,1,3,3,2,3,3,3,2,3,2,3,3,4,2,2,2,3,3,3,2,3,2,3,3,4,36,"1","AU",6,48
"130",4,5,3,5,5,5,5,3,3,3,5,2,5,5,2,2,4,5,1,2,5,5,3,3,1,2,2,2,1,5,2,5,2,5,2,4,17,"2","IN",23,58
"131",4,5,3,5,4,5,4,5,5,4,4,2,4,4,4,3,2,5,4,4,3,1,1,4,4,3,4,5,2,2,4,4,4,5,4,2,24,"2","IN",-2,66
"132",4,5,2,5,4,5,2,5,5,5,5,2,4,5,1,4,4,4,2,4,5,2,2,2,1,4,2,1,1,4,4,4,4,2,2,4,25,"2","KE",16,63
"133",3,2,4,2,4,3,1,3,2,3,4,3,2,1,4,2,4,4,4,3,4,4,4,2,3,1,4,1,3,2,4,4,4,3,3,3,20,"1","KE",-5,38
"134",4,4,3,4,1,5,2,5,2,5,1,5,1,5,3,4,3,4,1,4,2,1,2,5,3,4,4,2,1,3,1,3,1,4,2,4,21,"2","ZA",-1,69
"135",4,4,2,3,4,4,4,2,2,4,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,2,3,2,3,2,19,"2","ZA",4,49
"136",1,4,4,3,4,4,4,3,2,2,4,2,2,4,4,4,2,4,4,2,4,2,2,2,4,3,5,2,0,4,4,2,4,2,4,2,39,"2","ZA",-8,47
"137",4,1,5,1,5,2,1,1,1,1,4,1,1,1,4,1,5,3,5,1,3,5,5,1,4,1,4,1,5,1,4,5,2,1,2,1,27,"2","ZA",-6,19
"138",4,5,4,5,4,5,1,5,3,5,4,3,1,1,2,1,3,5,3,5,1,1,1,5,3,5,4,5,3,5,5,5,5,5,5,5,20,"2","ZA",-12,74
"139",2,4,3,3,4,4,4,4,2,3,4,1,4,4,2,1,4,5,2,3,4,2,3,4,4,3,3,2,2,2,2,2,3,4,3,2,22,"2","ZA",7,49
"140",4,1,3,4,2,1,4,4,4,1,4,1,4,1,1,1,5,1,3,1,1,4,2,1,1,1,2,1,3,1,4,2,4,1,4,1,18,"2","MW",5,20
"141",5,1,2,4,5,1,4,1,4,1,5,1,4,4,2,1,5,4,1,4,4,2,4,2,1,2,1,4,1,1,1,4,2,4,1,1,16,"2","ZA",28,38
"142",2,4,4,4,2,4,2,4,2,4,2,4,2,4,4,4,3,4,4,4,3,2,2,4,4,3,4,4,4,5,4,5,4,3,4,5,24,"2","ZA",-16,67
"143",4,5,4,0,2,4,2,4,4,2,2,2,2,4,3,2,2,4,3,4,3,2,2,3,3,2,4,2,2,4,4,3,4,5,3,2,29,"2","ZA",-7,50
"144",3,5,4,4,3,5,2,5,3,5,3,5,3,5,4,5,3,5,4,4,3,2,2,3,4,5,4,5,4,3,2,2,3,5,5,3,21,"2","ZA",-9,72
"145",4,4,2,1,4,2,4,2,3,3,3,2,4,0,2,2,2,2,2,2,5,4,4,2,5,2,2,2,2,2,2,4,4,4,3,2,44,"2","ZA",9,34
"146",3,4,4,4,2,5,3,5,2,5,2,2,2,4,3,2,1,4,3,4,4,2,1,3,2,3,3,2,3,4,4,4,4,4,4,4,19,"1","ZA",-10,61
"147",2,5,5,5,2,5,1,5,2,5,2,5,2,3,5,5,3,5,3,3,3,3,4,2,4,5,5,3,4,2,5,3,4,3,4,3,19,"2","ZA",-18,64
"148",2,4,5,4,2,4,2,5,3,2,4,5,2,5,4,3,2,4,4,5,2,1,1,4,4,3,4,5,4,5,4,5,4,3,4,3,28,"1","ZA",-17,68
"149",1,5,5,5,3,5,1,4,1,4,3,1,1,1,5,2,3,3,3,3,3,3,1,2,5,5,5,2,5,3,5,3,3,4,4,1,19,"1","ZA",-23,50
"150",1,2,5,3,1,2,1,2,1,3,1,3,1,3,5,3,1,5,4,4,3,3,1,4,1,2,5,3,5,4,5,4,5,5,5,4,54,"2","ZA",-29,53
"151",2,3,3,5,4,5,4,3,2,3,2,3,4,2,3,2,3,2,3,5,4,4,2,4,4,3,5,1,2,4,4,4,3,2,4,3,18,"1","ZA",-4,50
"152",4,1,4,3,3,2,1,1,2,3,2,2,3,1,2,1,4,2,4,2,4,4,3,2,2,2,2,2,2,3,3,2,3,2,3,2,30,"2","ZA",1,29
"153",4,4,3,5,2,4,2,4,1,4,3,3,2,5,1,3,2,3,4,4,4,2,2,4,4,2,4,3,4,5,4,5,5,5,4,1,38,"2","ZA",-11,62
"154",1,3,5,3,1,5,1,4,1,5,1,5,1,4,5,5,1,5,5,5,1,3,1,3,5,4,5,3,5,3,5,3,4,3,5,3,33,"2","ZA",-35,63
"155",4,1,3,1,4,1,4,1,4,2,2,1,4,1,3,2,3,1,4,1,5,5,4,1,2,2,3,3,2,1,2,1,2,1,2,1,54,"2","ZA",11,17
"156",2,1,4,5,1,5,1,5,3,5,1,1,3,5,5,1,4,5,1,5,5,5,5,1,5,5,5,1,5,2,1,5,5,5,5,5,26,"2","JP",-11,57
"157",5,5,3,4,4,4,4,5,4,5,4,2,4,2,4,2,4,5,2,4,4,2,4,4,2,2,2,2,3,4,2,4,2,4,2,4,24,"1","IN",15,60
"158",2,4,5,2,2,4,4,4,2,4,2,2,2,2,4,2,4,3,4,2,4,2,4,4,2,2,4,2,4,2,4,2,4,2,2,2,17,"2","IN",-7,43
"159",4,5,1,5,4,4,4,5,4,4,4,2,5,1,2,2,4,4,4,4,4,2,5,5,2,2,2,2,1,2,2,2,2,2,2,4,18,"2","IN",20,53
"160",2,4,4,3,2,2,2,4,2,4,4,2,2,4,4,2,2,2,4,1,4,2,2,5,4,4,4,4,4,3,4,4,4,5,4,4,18,"2","IN",-14,55
